,SampleID,notes,sampling date,sampling time,movement,Station_start,Station_end,sample type,medium,Station,ecosystem,depth,filtration,pore size,replicate,time,bottle,filter type,time point,Season,Latitude,Longitude,depth_class,depth_category,Sampling_month,Sample,depth_m,eligible_for_ctd,ctd_ctd_depth_m,depth_diff,ctd_sal,ctd_temp,ctd_fluor,ctd_oxygen2,ctd_oxygen,ctd_pres,ctd_theta,ctd_ctd_file
159,20250722-ESe20a,NA,07.22.2025,11:50:00,stationary,NA,NA,eDNA,water,Elkhorn Slough,estuary,0,active,0.22,1,NA,19,disk,3,Summer,36.8117,-121.77959,0,shallow,Jul.25,20250722-ESe20a,0,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
160,20250722-ESe20b,NA,07.22.2025,11:50:00,stationary,NA,NA,eDNA,water,Elkhorn Slough,estuary,0,active,0.22,2,NA,20,disk,3,Summer,36.8117,-121.77959,0,shallow,Jul.25,20250722-ESe20b,0,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
161,20250722-ESe20c,NA,07.22.2025,11:50:00,stationary,NA,NA,eDNA,water,Elkhorn Slough,estuary,0,active,0.22,3,NA,20,disk,3,Summer,36.8117,-121.77959,0,shallow,Jul.25,20250722-ESe20c,0,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
162,20250722-ESe21a,NA,07.22.2025,11:50:00,stationary,NA,NA,eDNA,water,Elkhorn Slough,estuary,0,active,0.22,1,NA,20,disk,3,Summer,36.8117,-121.77959,0,shallow,Jul.25,20250722-ESe21a,0,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
163,20250722-ESe21b,NA,07.22.2025,11:50:00,stationary,NA,NA,eDNA,water,Elkhorn Slough,estuary,0,active,0.22,2,NA,21,disk,3,Summer,36.8117,-121.77959,0,shallow,Jul.25,20250722-ESe21b,0,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
164,20250722-ESe21c,NA,07.22.2025,11:50:00,stationary,NA,NA,eDNA,water,Elkhorn Slough,estuary,0,active,0.22,3,NA,21,disk,3,Summer,36.8117,-121.77959,0,shallow,Jul.25,20250722-ESe21c,0,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
165,20250722-ESe22a,NA,07.22.2025,11:50:00,stationary,NA,NA,eDNA,water,Elkhorn Slough,estuary,0,active,0.22,1,NA,21,disk,3,Summer,36.8117,-121.77959,0,shallow,Jul.25,20250722-ESe22a,0,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
166,20250722-ESe22b,20250722_Ese_22b,07.22.2025,11:50:00,stationary,NA,NA,eDNA,water,Elkhorn Slough,estuary,0,active,0.22,2,NA,22,disk,3,Summer,36.8117,-121.77959,0,shallow,Jul.25,20250722-ESe22b,0,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
167,20250722-ESe22c,20250722_Ese_22c,07.22.2025,11:50:00,stationary,NA,NA,eDNA,water,Elkhorn Slough,estuary,0,active,0.22,3,NA,22,disk,3,Summer,36.8117,-121.77959,0,shallow,Jul.25,20250722-ESe22c,0,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
168,20250723-M1-010M-1,NA,07.23.2025,NA,stationary,NA,NA,eDNA,water,M1,marine,10,active,0.22,1,NA,NA,Sterivex,3,Summer,36.74166667,-122.0268333,10,shallow,Jul.25,20250723-M1-010M-1,10,TRUE,10,0,33.64266175,14.54540462,0.157795698,5.979746034,260.536747,10.07329317,14.54393697,SynchroOSW - Summer2025 - CTD - M1.cnv
169,20250723-M1-010M-2,NA,07.23.2025,NA,stationary,NA,NA,eDNA,water,M1,marine,10,active,0.22,2,NA,NA,Sterivex,3,Summer,36.74166667,-122.0268333,10,shallow,Jul.25,20250723-M1-010M-2,10,TRUE,10,0,33.64266175,14.54540462,0.157795698,5.979746034,260.536747,10.07329317,14.54393697,SynchroOSW - Summer2025 - CTD - M1.cnv
170,20250723-M1-010M-3,NA,07.23.2025,NA,stationary,NA,NA,eDNA,water,M1,marine,10,active,0.22,3,NA,NA,Sterivex,3,Summer,36.74166667,-122.0268333,10,shallow,Jul.25,20250723-M1-010M-3,10,TRUE,10,0,33.64266175,14.54540462,0.157795698,5.979746034,260.536747,10.07329317,14.54393697,SynchroOSW - Summer2025 - CTD - M1.cnv
171,20250723-M1-016m-1,Deep Chl max,07.23.2025,NA,stationary,NA,NA,eDNA,water,M1,marine,16,active,0.22,1,NA,NA,Sterivex,3,Summer,36.74166667,-122.0268333,DeepChla,shallow,Jul.25,20250723-M1-016m-1,16,TRUE,16,0,33.68327553,14.65316732,0.220713822,6.078598187,264.8410901,16.11983887,14.65080553,SynchroOSW - Summer2025 - CTD - M1.cnv
172,20250723-M1-016m-2,Deep Chl max,07.23.2025,NA,stationary,NA,NA,eDNA,water,M1,marine,16,active,0.22,2,NA,NA,Sterivex,3,Summer,36.74166667,-122.0268333,DeepChla,shallow,Jul.25,20250723-M1-016m-2,16,TRUE,16,0,33.68327553,14.65316732,0.220713822,6.078598187,264.8410901,16.11983887,14.65080553,SynchroOSW - Summer2025 - CTD - M1.cnv
173,20250723-M1-016m-3,Deep Chl max,07.23.2025,NA,stationary,NA,NA,eDNA,water,M1,marine,16,active,0.22,3,NA,NA,Sterivex,3,Summer,36.74166667,-122.0268333,DeepChla,shallow,Jul.25,20250723-M1-016m-3,16,TRUE,16,0,33.68327553,14.65316732,0.220713822,6.078598187,264.8410901,16.11983887,14.65080553,SynchroOSW - Summer2025 - CTD - M1.cnv
174,20250723-M1-150m-1,NA,07.23.2025,NA,stationary,NA,NA,eDNA,water,M1,marine,150,active,0.22,1,NA,NA,Sterivex,3,Summer,36.74166667,-122.0268333,150,deep,Jul.25,20250723-M1-150m-1,150,TRUE,150,0,34.07131411,9.440372177,0.010866919,1.799232661,78.29154839,151.1693548,9.423699968,SynchroOSW - Summer2025 - CTD - M1.cnv
175,20250723-M1-150m-2,NA,07.23.2025,NA,stationary,NA,NA,eDNA,water,M1,marine,150,active,0.22,2,NA,NA,Sterivex,3,Summer,36.74166667,-122.0268333,150,deep,Jul.25,20250723-M1-150m-2,150,TRUE,150,0,34.07131411,9.440372177,0.010866919,1.799232661,78.29154839,151.1693548,9.423699968,SynchroOSW - Summer2025 - CTD - M1.cnv
176,20250723-M1-150m-3,NA,07.23.2025,NA,stationary,NA,NA,eDNA,water,M1,marine,150,active,0.22,3,NA,NA,Sterivex,3,Summer,36.74166667,-122.0268333,150,deep,Jul.25,20250723-M1-150m-3,150,TRUE,150,0,34.07131411,9.440372177,0.010866919,1.799232661,78.29154839,151.1693548,9.423699968,SynchroOSW - Summer2025 - CTD - M1.cnv
177,20250723-M1-300m-1,NA,07.23.2025,NA,stationary,NA,NA,eDNA,water,M1,marine,300,active,0.22,1,NA,NA,Sterivex,3,Summer,36.74166667,-122.0268333,300,deep,Jul.25,20250723-M1-300m-1,300,TRUE,295,5,34.18318112,8.260875513,0.011002133,1.064359188,46.30183949,297.2704058,8.23037705,SynchroOSW - Summer2025 - CTD - M1.cnv
178,20250723-M1-300m-2,NA,07.23.2025,NA,stationary,NA,NA,eDNA,water,M1,marine,300,active,0.22,2,NA,NA,Sterivex,3,Summer,36.74166667,-122.0268333,300,deep,Jul.25,20250723-M1-300m-2,300,TRUE,295,5,34.18318112,8.260875513,0.011002133,1.064359188,46.30183949,297.2704058,8.23037705,SynchroOSW - Summer2025 - CTD - M1.cnv
179,20250723-M1-300m-3,NA,07.23.2025,NA,stationary,NA,NA,eDNA,water,M1,marine,300,active,0.22,3,NA,NA,Sterivex,3,Summer,36.74166667,-122.0268333,300,deep,Jul.25,20250723-M1-300m-3,300,TRUE,295,5,34.18318112,8.260875513,0.011002133,1.064359188,46.30183949,297.2704058,8.23037705,SynchroOSW - Summer2025 - CTD - M1.cnv
180,20250723-M1-air-st-A,deployed for 20 mins,07.23.2025,NA,stationary,M1,M1,eDNA,air,M1,marine,0,passive,0.22,1,NA,NA,disk,3,Summer,36.74166667,-122.0268333,0,shallow,Jul.25,20250723-M1-air-st-A,0,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
181,20250723-M1-air-st-B,deployed for 20 mins,07.23.2025,NA,stationary,M1,M1,eDNA,air,M1,marine,0,passive,0.22,2,NA,NA,disk,3,Summer,36.74166667,-122.0268333,0,shallow,Jul.25,20250723-M1-air-st-B,0,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
182,20250723-M1-air-st-C,deployed for 20 mins,07.23.2025,NA,stationary,M1,M1,eDNA,air,M1,marine,0,passive,0.22,3,NA,NA,disk,3,Summer,36.74166667,-122.0268333,0,shallow,Jul.25,20250723-M1-air-st-C,0,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
183,20250723-M1-torp-A,NA,07.23.2025,NA,transition,NA,NA,eDNA,water,M1,marine,0,passive,20,1,NA,NA,disk,3,Summer,36.74166667,-122.0268333,0,shallow,Jul.25,20250723-M1-torp-A,0,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
184,20250723-M1-torp-B,NA,07.23.2025,NA,transition,NA,NA,eDNA,water,M1,marine,0,passive,20,2,NA,NA,disk,3,Summer,36.74166667,-122.0268333,0,shallow,Jul.25,20250723-M1-torp-B,0,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
185,20250723-ML-M1-air-A,mainland to M1,07.23.2025,NA,transition,ML,M1,eDNA,air,M1,marine,0,passive,0.22,1,NA,NA,disk,3,Summer,36.74166667,-122.0268333,0,shallow,Jul.25,20250723-ML-M1-air-A,0,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
186,20250723-ML-M1-air-B,mainland to M1,07.23.2025,NA,transition,ML,M1,eDNA,air,M1,marine,0,passive,0.22,2,NA,NA,disk,3,Summer,36.74166667,-122.0268333,0,shallow,Jul.25,20250723-ML-M1-air-B,0,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
187,20250723-ML-M1-air-C,mainland to M1,07.23.2025,NA,transition,ML,M1,eDNA,air,M1,marine,0,passive,0.22,3,NA,NA,disk,3,Summer,36.74166667,-122.0268333,0,shallow,Jul.25,20250723-ML-M1-air-C,0,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
188,20250723-OSWS-010m-1,NA,07.23.2025,NA,stationary,NA,NA,eDNA,water,OSWS,marine,10,active,0.22,1,NA,NA,Sterivex,3,Summer,36.6775,-122.53517,10,shallow,Jul.25,20250723-OSWS-010m-1,10,TRUE,10,0,33.67877983,14.35366293,0.726075794,6.260725113,272.7589622,10.0706001,14.35220903,SynchroOSW - Summer2025 - CTD - Synchro1.cnv
189,20250723-OSWS-010m-2,NA,07.23.2025,NA,stationary,NA,NA,eDNA,water,OSWS,marine,150,active,0.22,2,NA,NA,Sterivex,3,Summer,36.6775,-122.53517,150,deep,Jul.25,20250723-OSWS-010m-2,150,TRUE,150,0,34.07201251,9.643856256,0.008860498,1.728881183,75.23599709,151.1251212,9.626961302,SynchroOSW - Summer2025 - CTD - Synchro1.cnv
190,20250723-OSWS-010m-3,NA,07.23.2025,NA,stationary,NA,NA,eDNA,water,OSWS,marine,150,active,0.22,3,NA,NA,Sterivex,3,Summer,36.6775,-122.53517,150,deep,Jul.25,20250723-OSWS-010m-3,150,TRUE,150,0,34.07201251,9.643856256,0.008860498,1.728881183,75.23599709,151.1251212,9.626961302,SynchroOSW - Summer2025 - CTD - Synchro1.cnv
191,20250723-OSWS-010m-4,NA,07.23.2025,NA,stationary,NA,NA,eDNA,water,OSWS,marine,150,active,0.22,4,NA,NA,Sterivex,3,Summer,36.6775,-122.53517,150,deep,Jul.25,20250723-OSWS-010m-4,150,TRUE,150,0,34.07201251,9.643856256,0.008860498,1.728881183,75.23599709,151.1251212,9.626961302,SynchroOSW - Summer2025 - CTD - Synchro1.cnv
192,20250723-OSWS-010m-5,NA,07.23.2025,NA,stationary,NA,NA,eDNA,water,OSWS,marine,300,active,0.22,5,NA,NA,Sterivex,3,Summer,36.6775,-122.53517,300,deep,Jul.25,20250723-OSWS-010m-5,300,TRUE,295,5,34.2239068,8.753498035,0.007617085,1.106391889,48.13407355,297.404534,8.721875276,SynchroOSW - Summer2025 - CTD - Synchro1.cnv
193,20250723-OSWS-010m-6,NA,07.23.2025,NA,stationary,NA,NA,eDNA,water,OSWS,marine,300,active,0.22,6,NA,NA,Sterivex,3,Summer,36.6775,-122.53517,300,deep,Jul.25,20250723-OSWS-010m-6,300,TRUE,295,5,34.2239068,8.753498035,0.007617085,1.106391889,48.13407355,297.404534,8.721875276,SynchroOSW - Summer2025 - CTD - Synchro1.cnv
194,20250723-OSWS-150m-1,NA,07.23.2025,NA,stationary,NA,NA,eDNA,water,OSWS,marine,10,active,0.22,1,NA,NA,Sterivex,3,Summer,36.6775,-122.53517,10,shallow,Jul.25,20250723-OSWS-150m-1,10,TRUE,10,0,33.67877983,14.35366293,0.726075794,6.260725113,272.7589622,10.0706001,14.35220903,SynchroOSW - Summer2025 - CTD - Synchro1.cnv
195,20250723-OSWS-150m-2,NA,07.23.2025,NA,stationary,NA,NA,eDNA,water,OSWS,marine,10,active,0.22,2,NA,NA,Sterivex,3,Summer,36.6775,-122.53517,10,shallow,Jul.25,20250723-OSWS-150m-2,10,TRUE,10,0,33.67877983,14.35366293,0.726075794,6.260725113,272.7589622,10.0706001,14.35220903,SynchroOSW - Summer2025 - CTD - Synchro1.cnv
196,20250723-OSWS-150m-3,NA,07.23.2025,NA,stationary,NA,NA,eDNA,water,OSWS,marine,10,active,0.22,3,NA,NA,Sterivex,3,Summer,36.6775,-122.53517,10,shallow,Jul.25,20250723-OSWS-150m-3,10,TRUE,10,0,33.67877983,14.35366293,0.726075794,6.260725113,272.7589622,10.0706001,14.35220903,SynchroOSW - Summer2025 - CTD - Synchro1.cnv
197,20250723-OSWS-300m-1,NA,07.23.2025,NA,stationary,NA,NA,eDNA,water,OSWS,marine,10,active,0.22,1,NA,NA,Sterivex,3,Summer,36.6775,-122.53517,10,shallow,Jul.25,20250723-OSWS-300m-1,10,TRUE,10,0,33.67877983,14.35366293,0.726075794,6.260725113,272.7589622,10.0706001,14.35220903,SynchroOSW - Summer2025 - CTD - Synchro1.cnv
198,20250723-OSWS-300m-2,NA,07.23.2025,NA,stationary,NA,NA,eDNA,water,OSWS,marine,10,active,0.22,3,NA,NA,Sterivex,3,Summer,36.6775,-122.53517,10,shallow,Jul.25,20250723-OSWS-300m-2,10,TRUE,10,0,33.67877983,14.35366293,0.726075794,6.260725113,272.7589622,10.0706001,14.35220903,SynchroOSW - Summer2025 - CTD - Synchro1.cnv
199,20250723-OSWS-300m-2-b,duplicate,07.23.2025,NA,stationary,NA,NA,eDNA,water,OSWS,marine,10,active,0.22,4,NA,NA,Sterivex,3,Summer,36.6775,-122.53517,10,shallow,Jul.25,20250723-OSWS-300m-2-b,10,TRUE,10,0,33.67877983,14.35366293,0.726075794,6.260725113,272.7589622,10.0706001,14.35220903,SynchroOSW - Summer2025 - CTD - Synchro1.cnv
200,20250723-OSWS-300m-3,NA,07.23.2025,NA,stationary,NA,NA,eDNA,water,OSWS,marine,10,active,0.22,2,NA,NA,Sterivex,3,Summer,36.6775,-122.53517,10,shallow,Jul.25,20250723-OSWS-300m-3,10,TRUE,10,0,33.67877983,14.35366293,0.726075794,6.260725113,272.7589622,10.0706001,14.35220903,SynchroOSW - Summer2025 - CTD - Synchro1.cnv
201,20250723-OSWS-air-1,transition,07.23.2025,NA,transition,M1,OSWS,eDNA,air,OSWS,marine,300,active,0.22,1,NA,NA,Sterivex,3,Summer,36.6775,-122.53517,300,deep,Jul.25,20250723-OSWS-air-1,300,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
202,20250723-OSWS-air-2,transition,07.23.2025,NA,transition,M1,OSWS,eDNA,air,OSWS,marine,0,passive,0.22,2,NA,NA,disk,3,Summer,36.6775,-122.53517,0,shallow,Jul.25,20250723-OSWS-air-2,0,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
203,20250723-OSWS-air-3,transition,07.23.2025,NA,transition,M1,OSWS,eDNA,air,OSWS,marine,0,passive,0.22,3,NA,NA,disk,3,Summer,36.6775,-122.53517,0,shallow,Jul.25,20250723-OSWS-air-3,0,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
204,20250723-OSWS-air-st-1,NA,07.23.2025,NA,stationary,OSWS,OSWS,eDNA,air,OSWS,marine,0,passive,0.22,1,NA,NA,disk,3,Summer,36.6775,-122.53517,0,shallow,Jul.25,20250723-OSWS-air-st-1,0,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
205,20250723-OSWS-air-st-2,NA,07.23.2025,NA,stationary,OSWS,OSWS,eDNA,air,OSWS,marine,0,passive,0.22,2,NA,NA,disk,3,Summer,36.6775,-122.53517,0,shallow,Jul.25,20250723-OSWS-air-st-2,0,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
206,20250723-OSWS-air-st-3,NA,07.23.2025,NA,stationary,OSWS,OSWS,eDNA,air,OSWS,marine,0,passive,0.22,3,NA,NA,disk,3,Summer,36.6775,-122.53517,0,shallow,Jul.25,20250723-OSWS-air-st-3,0,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
207,20250723-OSWS-torp-1,O-Ring not sealed,07.23.2025,NA,transition,NA,NA,eDNA,water,OSWS,marine,0,passive,20,1,NA,NA,disk,3,Summer,36.6775,-122.53517,0,shallow,Jul.25,20250723-OSWS-torp-1,0,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
208,20250723-OSWS-torp-2,NA,07.23.2025,NA,transition,NA,NA,eDNA,water,OSWS,marine,0,passive,20,2,NA,NA,disk,3,Summer,36.6775,-122.53517,0,shallow,Jul.25,20250723-OSWS-torp-2,0,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
209,20250724-C1-010m-1,NA,07.24.2025,NA,stationary,NA,NA,eDNA,water,C1,marine,10,active,0.22,1,NA,NA,Sterivex,3,Summer,36.8045,-121.858,10,shallow,Jul.25,20250724-C1-010m-1,10,TRUE,10,0,33.6744613,12.79782048,0.173837553,5.504671847,239.7473123,10.0716448,12.79647737,SynchroOSW - Summer2025 - CTD - C1.cnv
210,20250724-C1-010m-2,NA,07.24.2025,NA,stationary,NA,NA,eDNA,water,C1,marine,10,active,0.22,2,NA,NA,Sterivex,3,Summer,36.8045,-121.858,10,shallow,Jul.25,20250724-C1-010m-2,10,TRUE,10,0,33.6744613,12.79782048,0.173837553,5.504671847,239.7473123,10.0716448,12.79647737,SynchroOSW - Summer2025 - CTD - C1.cnv
211,20250724-C1-010m-3,NA,07.24.2025,NA,stationary,NA,NA,eDNA,water,C1,marine,10,active,0.22,3,NA,NA,Sterivex,3,Summer,36.8045,-121.858,10,shallow,Jul.25,20250724-C1-010m-3,10,TRUE,10,0,33.6744613,12.79782048,0.173837553,5.504671847,239.7473123,10.0716448,12.79647737,SynchroOSW - Summer2025 - CTD - C1.cnv
212,20250724-C1-010m-4,Deep Chl max,07.24.2025,NA,stationary,NA,NA,eDNA,water,C1,marine,10,active,0.22,4,NA,NA,Sterivex,3,Summer,36.8045,-121.858,10,shallow,Jul.25,20250724-C1-010m-4,10,TRUE,10,0,33.6744613,12.79782048,0.173837553,5.504671847,239.7473123,10.0716448,12.79647737,SynchroOSW - Summer2025 - CTD - C1.cnv
213,20250724-C1-010m-5,Deep Chl max,07.24.2025,NA,stationary,NA,NA,eDNA,water,C1,marine,10,active,0.22,5,NA,NA,Sterivex,3,Summer,36.8045,-121.858,10,shallow,Jul.25,20250724-C1-010m-5,10,TRUE,10,0,33.6744613,12.79782048,0.173837553,5.504671847,239.7473123,10.0716448,12.79647737,SynchroOSW - Summer2025 - CTD - C1.cnv
214,20250724-C1-010m-6,Deep Chl max,07.24.2025,NA,stationary,NA,NA,eDNA,water,C1,marine,10,active,0.22,6,NA,NA,Sterivex,3,Summer,36.8045,-121.858,10,shallow,Jul.25,20250724-C1-010m-6,10,TRUE,10,0,33.6744613,12.79782048,0.173837553,5.504671847,239.7473123,10.0716448,12.79647737,SynchroOSW - Summer2025 - CTD - C1.cnv
215,20250724-C1-010m-7,NA,07.24.2025,NA,stationary,NA,NA,eDNA,water,C1,marine,10,active,0.22,7,NA,NA,Sterivex,3,Summer,36.8045,-121.858,10,shallow,Jul.25,20250724-C1-010m-7,10,TRUE,10,0,33.6744613,12.79782048,0.173837553,5.504671847,239.7473123,10.0716448,12.79647737,SynchroOSW - Summer2025 - CTD - C1.cnv
216,20250724-C1-010m-8,NA,07.24.2025,NA,stationary,NA,NA,eDNA,water,C1,marine,10,active,0.22,8,NA,NA,Sterivex,3,Summer,36.8045,-121.858,10,shallow,Jul.25,20250724-C1-010m-8,10,TRUE,10,0,33.6744613,12.79782048,0.173837553,5.504671847,239.7473123,10.0716448,12.79647737,SynchroOSW - Summer2025 - CTD - C1.cnv
217,20250724-C1-010m-9,NA,07.24.2025,NA,stationary,NA,NA,eDNA,water,C1,marine,10,active,0.22,9,NA,NA,Sterivex,3,Summer,36.8045,-121.858,10,shallow,Jul.25,20250724-C1-010m-9,10,TRUE,10,0,33.6744613,12.79782048,0.173837553,5.504671847,239.7473123,10.0716448,12.79647737,SynchroOSW - Summer2025 - CTD - C1.cnv
218,20250724-C1-150m-1,NA,07.24.2025,NA,stationary,NA,NA,eDNA,water,C1,marine,150,active,0.22,1,NA,NA,Sterivex,3,Summer,36.8045,-121.858,150,deep,Jul.25,20250724-C1-150m-1,150,TRUE,150,0,34.04120655,9.637498628,0.01467096,2.060451067,89.66591159,151.1615854,9.620613577,SynchroOSW - Summer2025 - CTD - C1.cnv
219,20250724-C1-150m-2,NA,07.24.2025,NA,stationary,NA,NA,eDNA,water,C1,marine,150,active,0.22,2,NA,NA,Sterivex,3,Summer,36.8045,-121.858,150,deep,Jul.25,20250724-C1-150m-2,150,TRUE,150,0,34.04120655,9.637498628,0.01467096,2.060451067,89.66591159,151.1615854,9.620613577,SynchroOSW - Summer2025 - CTD - C1.cnv
220,20250724-C1-150m-3,NA,07.24.2025,NA,stationary,NA,NA,eDNA,water,C1,marine,150,active,0.22,3,NA,NA,Sterivex,3,Summer,36.8045,-121.858,150,deep,Jul.25,20250724-C1-150m-3,150,TRUE,150,0,34.04120655,9.637498628,0.01467096,2.060451067,89.66591159,151.1615854,9.620613577,SynchroOSW - Summer2025 - CTD - C1.cnv
221,20250724-C1-air-st-1,NA,07.24.2025,NA,stationary,C1,C1,eDNA,air,C1,marine,0,passive,0.22,1,NA,NA,disk,3,Summer,36.8045,-121.858,0,shallow,Jul.25,20250724-C1-air-st-1,0,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
222,20250724-C1-air-st-2,NA,07.24.2025,NA,stationary,C1,C1,eDNA,air,C1,marine,0,passive,0.22,2,NA,NA,disk,3,Summer,36.8045,-121.858,0,shallow,Jul.25,20250724-C1-air-st-2,0,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
223,20250724-C1-air-st-3,NA,07.24.2025,NA,stationary,C1,C1,eDNA,air,C1,marine,0,passive,0.22,3,NA,NA,disk,3,Summer,36.8045,-121.858,0,shallow,Jul.25,20250724-C1-air-st-3,0,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
224,20250724-C1-M2-air-1,NA,07.24.2025,NA,transition,C1,M2,eDNA,air,C1,marine,10,passive,0.22,1,NA,NA,disk,3,Summer,36.8045,-121.858,10,shallow,Jul.25,20250724-C1-M2-air-1,10,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
225,20250724-C1-M2-air-2,NA,07.24.2025,NA,transition,C1,M2,eDNA,air,C1,marine,0,passive,0.22,2,NA,NA,disk,3,Summer,36.8045,-121.858,0,shallow,Jul.25,20250724-C1-M2-air-2,0,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
226,20250724-C1-M2-air-3,NA,07.24.2025,NA,transition,C1,M2,eDNA,air,C1,marine,0,passive,0.22,3,NA,NA,disk,3,Summer,36.8045,-121.858,0,shallow,Jul.25,20250724-C1-M2-air-3,0,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
227,20250724-M1-C-torp-A,torp,10.28.2025,NA,transition,M1,C1,eDNA,water,C1,marine,0,passive,0.22,1,3,NA,disk,4,Autumn,36.8,-121.8562,0,shallow,Oct.25,20250724-M1-C-torp-A,0,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
228,20250724-M1-C-torp-B,torp,10.28.2025,NA,transition,M1,C+,eDNA,water,C1,marine,0,passive,0.22,2,3,NA,disk,4,Autumn,36.8,-121.8562,0,shallow,Oct.25,20250724-M1-C-torp-B,0,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
229,20250724-M2-003m-1,Deep Chl max,07.24.2025,NA,stationary,NA,NA,eDNA,water,M2,marine,3,active,0.22,1,NA,NA,Sterivex,3,Summer,36.7015,-122.3743333,DeepChla,shallow,Jul.25,20250724-M2-003m-1,3,TRUE,6,3,33.68861798,13.21501093,0.480538615,5.682728212,247.5177053,6.044332494,13.2141869,SynchroOSW - Summer2025 - CTD - M2.cnv
230,20250724-M2-003m-2,Deep Chl max,07.24.2025,NA,stationary,NA,NA,eDNA,water,M2,marine,3,active,0.22,2,NA,NA,Sterivex,3,Summer,36.7015,-122.3743333,DeepChla,shallow,Jul.25,20250724-M2-003m-2,3,TRUE,6,3,33.68861798,13.21501093,0.480538615,5.682728212,247.5177053,6.044332494,13.2141869,SynchroOSW - Summer2025 - CTD - M2.cnv
231,20250724-M2-003m-3,Deep Chl max,07.24.2025,NA,stationary,NA,NA,eDNA,water,M2,marine,3,active,0.22,3,NA,NA,Sterivex,3,Summer,36.7015,-122.3743333,DeepChla,shallow,Jul.25,20250724-M2-003m-3,3,TRUE,6,3,33.68861798,13.21501093,0.480538615,5.682728212,247.5177053,6.044332494,13.2141869,SynchroOSW - Summer2025 - CTD - M2.cnv
232,20250724-M2-010m-1,NA,07.24.2025,NA,stationary,NA,NA,eDNA,water,M2,marine,10,active,0.22,1,NA,NA,Sterivex,3,Summer,36.7015,-122.3743333,10,shallow,Jul.25,20250724-M2-010m-1,10,TRUE,10,0,33.68439627,13.08262987,0.438505254,5.533827708,241.0298257,10.07455919,13.08126573,SynchroOSW - Summer2025 - CTD - M2.cnv
233,20250724-M2-010m-2,NA,07.24.2025,NA,stationary,NA,NA,eDNA,water,M2,marine,10,active,0.22,2,NA,NA,Sterivex,3,Summer,36.7015,-122.3743333,10,shallow,Jul.25,20250724-M2-010m-2,10,TRUE,10,0,33.68439627,13.08262987,0.438505254,5.533827708,241.0298257,10.07455919,13.08126573,SynchroOSW - Summer2025 - CTD - M2.cnv
234,20250724-M2-010m-3,NA,07.24.2025,NA,stationary,NA,NA,eDNA,water,M2,marine,10,active,0.22,3,NA,NA,Sterivex,3,Summer,36.7015,-122.3743333,10,shallow,Jul.25,20250724-M2-010m-3,10,TRUE,10,0,33.68439627,13.08262987,0.438505254,5.533827708,241.0298257,10.07455919,13.08126573,SynchroOSW - Summer2025 - CTD - M2.cnv
235,20250724-M2-150m-1,NA,07.24.2025,NA,stationary,NA,NA,eDNA,water,M2,marine,150,active,0.22,1,NA,NA,Sterivex,3,Summer,36.7015,-122.3743333,150,deep,Jul.25,20250724-M2-150m-1,150,TRUE,150,0,34.06683379,9.720881745,0.007953102,1.862811447,81.06293747,151.168936,9.703897028,SynchroOSW - Summer2025 - CTD - M2.cnv
